date,population shift,patients
2019/8/13,408120,0
2019/8/14,542841,0
2019/8/15,820312,0
2019/8/16,606579,0
2019/8/17,460415,0
2019/8/18,486668,0
2019/8/19,350468,0
2019/8/20,282934,0
2019/8/21,278568,0
2019/8/22,495222,0
2019/8/23,370661,0
2019/8/24,264176,0
2019/8/25,492976,0
2019/8/26,462696,0
2019/8/27,394859,0
2019/8/28,200684,0
2019/8/29,362023,0
2019/8/30,286928,0
2019/8/31,232656,0
2019/9/1,176071,0
2019/9/2,243403,0
2019/9/3,185990,0
2019/9/4,121904,0
2019/9/5,347141,0
2019/9/6,763132,0
2019/9/7,470793,0
2019/9/8,327023,0
2019/9/9,239518,0
2019/9/10,178265,0
2019/9/11,322190,0
2019/9/12,323646,0
2019/9/13,273804,0
2019/9/14,291886,0
2019/9/15,249643,0
2019/9/16,212669,0
2019/9/17,133745,0
2019/9/18,383455,0
2019/9/19,344820,0
2019/9/20,275159,0
2019/9/21,283680,0
2019/9/22,270965,0
2019/9/23,238048,0
2019/9/24,105680,0
2019/9/25,261338,0
2019/9/26,338724,0
2019/9/27,259317,0
2019/9/28,336417,0
2019/9/29,322277,0
2019/9/30,17427,0
2019/10/1,91685,0
2019/10/2,268852,0
2019/10/3,176898,0
2019/10/4,144306,0
2019/10/5,64361,0
2019/10/6,-19682,0
2019/10/7,-167449,0
2019/10/8,-231129,0
2019/10/9,-214200,0
2019/10/10,-96090,0
2019/10/11,65269,0
2019/10/12,110320,0
2019/10/13,296457,0
2019/10/14,408120,0
2019/10/15,542841,0
2019/10/16,820312,0
2019/10/17,606579,0
2019/10/18,460415,0
2019/10/19,486668,0
2019/10/20,350468,0
2019/10/21,282934,0
2019/10/22,278568,0
2019/10/23,495222,0
2019/10/24,370661,0
2019/10/25,264176,0
2019/10/26,492976,0
2019/10/27,462696,0
2019/10/28,394859,0
2019/10/29,200684,0
2019/10/30,362023,0
2019/10/31,286928,0
2019/11/1,232656,0
2019/11/2,176071,0
2019/11/3,243403,0
2019/11/4,185990,0
2019/11/5,121904,0
2019/11/6,347141,0
2019/11/7,763132,0
2019/11/8,470793,0
2019/11/9,327023,0
2019/11/10,239518,0
2019/11/11,178265,0
2019/11/12,322190,0
2019/11/13,323646,0
2019/11/14,273804,0
2019/11/15,291886,0
2019/11/16,249643,0
2019/11/17,212669,0
2019/11/18,133745,0
2019/11/19,383455,0
2019/11/20,344820,0
2019/11/21,275159,0
2019/11/22,283680,0
2019/11/23,270965,0
2019/11/24,238048,0
2019/11/25,105680,0
2019/11/26,261338,0
2019/11/27,338724,0
2019/11/28,259317,0
2019/11/29,336417,0
2019/11/30,322277,0
2019/12/1,17427,0
2019/12/2,91685,0
2019/12/3,268852,0
2019/12/4,176898,0
2019/12/5,144306,0
2019/12/6,64361,0
2019/12/7,-19682,0
2019/12/8,-167449,0
2019/12/9,-231129,0
2019/12/10,-214200,0
2019/12/11,-96090,0
2019/12/12,65269,0
2019/12/13,110320,0
2019/12/14,296457,0
2019/12/15,408120,0
2019/12/16,542841,0
2019/12/17,820312,0
2019/12/18,606579,0
2019/12/19,460415,0
2019/12/20,486668,0
2019/12/21,350468,0
2019/12/22,282934,0
2019/12/23,278568,0
2019/12/24,495222,0
2019/12/25,370661,0
2019/12/26,264176,0
2019/12/27,492976,0
2019/12/28,462696,0
2019/12/29,394859,0
2019/12/30,200684,0
2019/12/31,362023,0
